2021-06-04 13:54:01.130	     0x11894ee00	INFO	logging	contrib/epee/src/mlog.cpp:273	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.ssl:FATAL,net.p2p:FATAL,net.cn:FATAL,daemon.rpc:FATAL,global:INFO,verify:FATAL,serialization:FATAL,daemon.rpc.payment:ERROR,stacktrace:INFO,logging:INFO,msgwriter:INFO
2021-06-05 10:02:40.792	[RPC0]	WARNING	net.http	src/wallet/wallet_errors.h:929	/Users/harrisonhesslink/Equilibria/src/wallet/wallet2.cpp:13887:N5tools5error23no_connection_to_daemonE: no connection to daemon, request = get_transaction_pool_hashes.bin
2021-06-05 10:02:40.793	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:131	Exception at while refreshing, what=no connection to daemon
2021-06-05 10:02:40.889	[RPC0]	DEBUG	net.http	contrib/epee/include/net/http_client.h:246	Reconnecting...
2021-06-05 10:49:19.274	[RPC0]	ERROR	net.http	contrib/epee/include/net/http_client.h:352	Unexpected recv fail
2021-06-05 10:49:19.275	[RPC0]	INFO	net.http	contrib/epee/include/storages/http_abstract_invoke.h:84	Failed to invoke http request to  /getblocks.bin
2021-06-05 10:49:19.275	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:13887	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2021-06-05 10:49:19.275	[RPC0]	WARNING	net.http	src/wallet/wallet_errors.h:929	/Users/harrisonhesslink/Equilibria/src/wallet/wallet2.cpp:13887:N5tools5error23no_connection_to_daemonE: no connection to daemon, request = getblocks.bin
2021-06-05 10:49:19.277	[RPC0]	DEBUG	net.http	contrib/epee/include/net/http_client.h:246	Reconnecting...
2021-06-05 14:00:23.585	[RPC0]	ERROR	net.http	contrib/epee/include/net/http_client.h:352	Unexpected recv fail
2021-06-05 14:00:23.586	[RPC0]	INFO	net.http	contrib/epee/include/storages/http_abstract_invoke.h:53	Failed to invoke http request to  /get_transaction_pool_hashes.bin
